COMMENT,ORIGINATOR,NORAD_CAT_ID,OBJECT_NAME,OBJECT_TYPE,CLASSIFICATION_TYPE,INTLDES,EPOCH,EPOCH_MICROSECONDS,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,FILE,TLE_LINE0,TLE_LINE1,TLE_LINE2,OBJECT_ID,OBJECT_NUMBER,SEMIMAJOR_AXIS,PERIOD,APOGEE,PERIGEE
"GENERATED VIA SPACETRACK.ORG API","JSPOC","23739","SL-12 R/B(2)","ROCKET BODY","U","95068F","2016-01-08 00:17:54","930912","2.13373255","0.0008718","66.5378","326.5709","211.7224","47.1373","0","999","15632","0","-4.1e-07","0","1978186","0 SL-12 R/B(2)","1 23739U 95068F   16008.01244133 -.00000041 +00000-0 +00000-0 0  9991","2 23739 066.5378 326.5709 0008718 211.7224 047.1373 02.13373255156329","1995-068F","23739","25486.401","674.873","19130.485","19086.047"
"GENERATED VIA SPACETRACK.ORG API","JSPOC","37607","ARIANE 5 R/B","ROCKET BODY","U","11022C","2016-01-08 00:18:37","474272","2.89290615","0.6850786","1.9941","288.5407","357.4883","0.3436","0","999","4330","0.0017467","0.00068632","1.1015e-06","1977558","0 ARIANE 5 R/B","1 37607U 11022C   16008.01293373  .00068632  11015-5  17467-2 0  9997","2 37607   1.9941 288.5407 6850786 357.4883   0.3436  2.89290615 43309","2011-022C","37607","20805.537","497.769","28680.831","173.974"
"GENERATED VIA SPACETRACK.ORG API","JSPOC","38077","LARES","PAYLOAD","U","12006A","2016-01-08 00:20:37","715424","12.54930468","0.000719","69.4913","325.4866","29.8116","330.3321","0","999","17875","0.0001","-2.2e-07","0","1977502","0 LARES","1 38077U 12006A   16008.01432541 -.00000022  00000-0  10000-3 0  9998","2 38077  69.4913 325.4866 0007190  29.8116 330.3321 12.54930468178752","2012-006A","38077","7822.076","114.747","1449.565","1438.317"
"GENERATED VIA SPACETRACK.ORG API","JSPOC","19468","CZ-4 R/B","ROCKET BODY","U","88080B","2016-01-08 00:20:58","213824","14.03498969","0.0072125","99.1068","343.8629","44.8959","356.8339","0","999","39948","0.00018438","2.51e-06","0","1977513","0 CZ-4 R/B","1 19468U 88080B   16008.01456266  .00000251  00000-0  18438-3 0  9992","2 19468  99.1068 343.8629 0072125  44.8959 356.8339 14.03498969399487","1988-080B","19468","7259.841","102.600","934.067","829.344"
"GENERATED VIA SPACETRACK.ORG API","JSPOC","25894","ABS 7 (KOREASAT 3)","PAYLOAD","U","99046A","2016-01-08 00:21:04","888224","1.00269444","0.0001905","0.0187","50.3303","270.2243","267.8629","0","999","5892","0","-3.54e-06","0","1977527","0 ABS 7 (KOREASAT 3)","1 25894U 99046A   16008.01463991 -.00000354  00000-0  00000+0 0  9996","2 25894   0.0187  50.3303 0001905 270.2243 267.8629  1.00269444 58929","1999-046A","25894","42165.388","1436.130","35795.285","35779.220"
"GENERATED VIA SPACETRACK.ORG API","JSPOC","37265","KOREASAT 6","PAYLOAD","U","10070B","2016-01-08 00:21:04","888224","1.00271","0.0001994","0.0137","348.7405","303.1286","296.4059","0","999","1845","0","-3.54e-06","0","1977563","0 KOREASAT 6","1 37265U 10070B   16008.01463991 -.00000354  00000-0  00000+0 0  9991","2 37265   0.0137 348.7405 0001994 303.1286 296.4059  1.00271000 18457","2010-070B","37265","42164.952","1436.108","35795.224","35778.409"
"GENERATED VIA SPACETRACK.ORG API","JSPOC","35500","COSMOS 2453","PAYLOAD","U","09036C","2016-01-08 00:21:04","77792","12.4144641","0.000642","82.4884","296.5884","173.1835","186.9335","0","999","29494","0.00016948","3.3e-07","0","1977567","0 COSMOS 2453","1 35500U 09036C   16008.01463053  .00000033  00000-0  16948-3 0  9995","2 35500  82.4884 296.5884 0006420 173.1835 186.9335 12.41446410294941","2009-036C","35500","7878.614","115.993","1505.537","1495.421"
"GENERATED VIA SPACETRACK.ORG API","JSPOC","40385","BREEZE-M R/B","ROCKET BODY","U","15005B","2016-01-08 00:21:24","788736","1.11107965","0.7682358","25.6047","293.7779","237.7642","26.4976","0","999","346","0","-2.5e-07","0","1977644","0 BREEZE-M R/B","1 40385U 15005B   16008.01487024 -.00000025  00000-0  00000+0 0  9999","2 40385  25.6047 293.7779 7682358 237.7642  26.4976  1.11107965  3468","2015-005B","40385","39376.614","1296.036","63249.005","2747.954"
"GENERATED VIA SPACETRACK.ORG API","JSPOC","40385","BREEZE-M R/B","ROCKET BODY","U","15005B","2016-01-08 00:21:24","926112","1.11107963","0.7682345","25.6047","293.7777","237.7638","26.4984","0","999","377","0","-2.5e-07","0","1978186","0 BREEZE-M R/B","1 40385U 15005B   16008.01487183 -.00000025 +00000-0 +00000-0 0  9996","2 40385 025.6047 293.7777 7682345 237.7638 026.4984 01.11107963003778","2015-005B","40385","39376.615","1296.036","63248.954","2748.005"
"GENERATED VIA SPACETRACK.ORG API","JSPOC","3522","THOR BURNER 2 R/B","ROCKET BODY","U","68092B","2016-01-08 00:21:49","901760","14.29344426","0.0028918","98.2984","172.4619","217.8238","142.0913","0","999","45578","4.5277e-05","7.5e-07","0","1977521","0 THOR BURNER 2 R/B","1 03522U 68092B   16008.01516090  .00000075  00000-0  45277-4 0  9995","2 03522  98.2984 172.4619 0028918 217.8238 142.0913 14.29344426455781","1968-092B","3522","7172.059","100.745","814.665","773.184"
